duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,xAttack
202,0,icmp,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,1.0,1.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.65,0.65,0.32,0.32,malicious
768,0,icmp,25,2,312,1856,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0.0,0.0,0.0,0.0,1.0,0.0,0.33,1,254,1.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,normal
3753,0,icmp,25,2,245,2058,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,114,255,1.0,0.0,0.01,0.05,0.01,0.0,0.0,0.0,normal
20087,0,icmp,25,2,298,1267,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,18,0.0,0.0,0.0,0.0,1.0,0.0,0.11,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
16159,0,icmp,20,2,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,104,19,0.18,0.03,0.18,0.0,0.0,0.0,0.0,0.0,normal
18012,0,icmp,25,2,304,16414,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
15066,0,icmp,29,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,0.0,0.75,1.0,0.25,0.75,1.0,255,54,0.21,0.02,0.0,0.0,0.0,0.0,0.78,0.98,malicious
6541,0,icmp,25,5,42340,7300,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0.0,0.0,0.75,0.6,1.0,0.0,0.4,255,255,1.0,0.0,0.0,0.0,0.01,0.01,0.07,0.07,malicious
10031,4,icmp,48,2,32,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,141,124,0.87,0.02,0.01,0.02,0.0,0.0,0.07,0.0,malicious
14225,0,icmp,25,2,249,5656,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,176,242,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,normal
11041,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,11,0.0,0.0,1.0,1.0,0.05,0.08,0.0,255,11,0.04,0.08,0.0,0.0,0.0,0.0,1.0,1.0,malicious
2857,0,icmp,25,2,208,277,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43,255,1.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,normal
4471,0,icmp,25,2,225,1163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,42,0.0,0.0,0.0,0.0,1.0,0.0,0.05,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
4270,7354,icmp,61,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,225,0.88,0.02,0.0,0.0,0.27,0.31,0.01,0.0,malicious
9933,0,icmp,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,15,1.0,1.0,0.0,0.0,0.07,0.06,0.0,255,15,0.06,0.07,0.0,0.0,1.0,1.0,0.0,0.0,malicious
18035,0,icmp,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,1,0.05,1.0,0.95,0.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.09,1.0,0.91,0.0,malicious
18176,0,icmp,25,2,227,1964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,198,255,1.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,normal
716,0,udp,12,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0.0,0.0,0.0,0.0,1.0,0.0,0.18,49,49,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,normal
7194,280,icmp,20,2,283618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,6,1.0,0.0,1.0,0.33,0.0,0.0,0.0,0.0,malicious
20934,0,icmp,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,6,0.0,0.0,1.0,1.0,0.03,0.06,0.0,255,6,0.02,0.07,0.0,0.0,0.05,0.0,0.95,1.0,malicious
22117,0,icmp,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,5,1.0,1.0,0.0,0.0,0.04,0.07,0.0,255,5,0.02,0.06,0.0,0.0,1.0,1.0,0.0,0.0,malicious
15086,0,icmp,20,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,3,0.01,0.06,0.01,0.0,0.99,0.0,0.0,0.0,normal
13813,284,icmp,20,2,152,591,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,17,0.07,0.94,0.0,0.0,0.0,0.0,0.93,0.0,malicious
7638,0,udp,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0.0,0.0,0.0,0.0,0.11,0.39,0.0,255,3,0.01,0.73,1.0,0.0,0.0,0.0,0.0,0.0,normal
9574,0,icmp,25,2,180,2341,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,4,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,normal
14771,0,icmp,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,1.0,1.0,0.0,0.0,1.0,0.0,0.0,255,245,0.96,0.01,0.0,0.0,0.18,0.19,0.56,0.59,malicious
12999,0,icmp,25,2,209,987,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33,247,1.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,normal
13056,0,icmp,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,1,0.18,1.0,0.82,0.0,0.0,1.0,0.0,255,1,0.0,0.91,0.0,0.0,0.17,1.0,0.83,0.0,malicious
21427,0,icmp,61,7,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,255,100,0.39,0.03,0.0,0.0,0.09,0.22,0.11,0.13,malicious
6808,0,icmp,25,2,301,1453,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,31,0.0,0.0,0.0,0.0,1.0,0.0,0.06,58,255,1.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,normal
17381,0,icmp,25,2,323,352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38,237,1.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,normal
4133,7621,icmp,61,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,170,0.67,0.03,0.0,0.0,0.33,0.49,0.11,0.08,malicious
15100,0,icmp,25,5,39420,7300,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,242,0.95,0.01,0.0,0.0,0.0,0.0,0.05,0.05,malicious
6754,0,icmp,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,1,0.02,0.0,0.98,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,malicious
